content_id,creator_id,category,duration_seconds,upload_timestamp,virality_score,trend_score,content_type
C000001,CR0155,gaming,141,2026-01-22,1.6,0.1,short_video
C000002,CR0069,sports,37,2026-03-05,0.2,0.78,edit
C000003,CR0505,tech,182,2025-03-28,0.73,0.19,edit
C000004,CR0441,sports,72,2026-02-04,4.28,0.18,edit
C000005,CR0907,memes,25,2025-02-06,0.82,0.81,meme_video
C000006,CR0754,sports,41,2025-11-17,2.0,0.07,edit
C000007,CR0775,memes,22,2026-02-27,2.88,0.73,clip
C000008,CR0655,anime,48,2025-03-04,4.51,0.18,edit
C000009,CR0979,memes,25,2025-06-08,10.0,0.62,clip
C000010,CR0839,tech,135,2026-01-01,0.91,0.21,short_video
C000011,CR0013,gaming,164,2026-03-24,0.84,0.23,meme_video
C000012,CR0938,anime,36,2025-04-29,0.43,0.47,edit
C000013,CR0977,food,45,2026-02-14,1.48,0.54,short_video
C000014,CR0219,fitness,77,2025-05-20,2.54,0.55,short_video
C000015,CR0778,tech,30,2025-02-19,1.11,0.04,short_video
C000016,CR0655,finance,69,2025-10-02,10.0,0.84,meme_video
C000017,CR0555,food,53,2025-10-17,0.36,0.12,short_video
C000018,CR0869,music,33,2026-03-18,0.68,0.89,edit
C000019,CR0796,tech,233,2026-03-25,1.66,0.43,short_video
C000020,CR0813,sports,78,2025-07-19,1.63,0.18,meme_video
C000021,CR0465,memes,15,2025-05-11,0.5,0.89,short_video
C000022,CR0696,tech,30,2025-04-25,5.14,0.45,edit
C000023,CR0019,memes,19,2025-11-29,0.67,0.35,edit
C000024,CR0685,memes,5,2026-04-08,0.48,0.75,short_video
C000025,CR0531,anime,44,2025-01-05,1.9,0.52,edit
C000026,CR0463,anime,63,2025-08-02,0.45,0.26,meme_video
C000027,CR0307,music,44,2025-11-08,4.46,0.29,meme_video
C000028,CR0489,fitness,118,2025-12-09,3.66,0.34,clip
C000029,CR0558,anime,118,2025-03-04,1.01,0.69,meme_video
C000030,CR0574,finance,104,2025-03-09,10.0,0.04,edit
C000031,CR0625,food,37,2026-04-11,1.88,0.12,meme_video
C000032,CR0601,anime,73,2025-11-11,2.42,0.74,meme_video
C000033,CR0407,tech,232,2025-07-02,1.89,0.46,edit
C000034,CR0735,music,55,2025-02-19,3.19,0.44,meme_video
C000035,CR0279,fitness,103,2025-04-24,0.46,0.86,clip
C000036,CR0336,gaming,141,2025-01-23,1.37,0.39,clip
C000037,CR0865,food,40,2026-04-07,2.47,0.24,clip
C000038,CR0970,memes,10,2025-12-23,3.31,0.91,meme_video
C000039,CR0825,anime,45,2025-09-17,1.19,0.89,edit
C000040,CR0942,finance,97,2025-04-21,0.92,0.69,clip
C000041,CR0643,tech,152,2025-03-04,0.74,0.68,edit
C000042,CR0545,tech,230,2025-07-11,2.28,0.93,short_video
C000043,CR0876,fitness,115,2026-02-01,1.63,0.37,edit
C000044,CR0302,food,46,2025-01-21,8.71,0.52,edit
C000045,CR0875,gaming,118,2025-09-19,2.75,0.2,meme_video
C000046,CR0429,sports,45,2025-12-24,0.59,0.62,edit
C000047,CR0220,anime,38,2025-08-13,1.42,0.52,edit
C000048,CR0914,memes,18,2026-02-08,0.1,0.66,edit
C000049,CR0514,music,39,2025-12-17,1.44,0.18,edit
C000050,CR0934,sports,31,2025-10-04,10.0,0.21,clip
C000051,CR0790,music,41,2025-12-10,0.64,0.94,short_video
C000052,CR0974,sports,21,2025-01-28,0.86,0.3,clip
C000053,CR0798,music,51,2025-02-15,6.35,0.23,meme_video
C000054,CR0512,gaming,149,2025-05-22,0.43,0.14,edit
C000055,CR0026,memes,16,2025-12-28,2.67,0.57,edit
C000056,CR0745,tech,36,2025-12-10,2.44,0.37,meme_video
C000057,CR0539,food,78,2025-11-03,0.73,0.28,meme_video
C000058,CR0875,gaming,105,2025-05-03,1.27,0.27,meme_video
C000059,CR0567,gaming,88,2025-08-29,9.75,0.78,edit
C000060,CR0181,sports,75,2025-06-28,4.07,0.37,short_video
C000061,CR0665,gaming,129,2025-10-29,1.97,0.63,meme_video
C000062,CR0951,sports,37,2025-05-10,1.74,0.56,edit
C000063,CR0867,sports,35,2025-02-21,1.19,0.76,clip
C000064,CR0553,gaming,113,2025-05-25,1.31,1.0,edit
C000065,CR0748,anime,98,2025-12-29,6.68,0.45,short_video
C000066,CR0864,memes,27,2025-11-05,4.31,0.77,clip
C000067,CR0257,sports,79,2025-03-30,0.46,0.5,meme_video
C000068,CR0995,gaming,92,2025-05-05,0.37,0.96,edit
C000069,CR0488,fitness,97,2026-01-12,1.52,0.7,edit
C000070,CR0680,tech,173,2025-07-30,1.89,0.09,edit
C000071,CR0057,memes,14,2025-06-06,1.4,0.87,meme_video
C000072,CR0096,music,17,2025-03-02,1.2,0.92,meme_video
C000073,CR0581,memes,14,2025-05-22,1.66,0.25,meme_video
C000074,CR0021,fitness,113,2026-01-27,8.47,0.11,edit
C000075,CR0798,food,52,2026-01-02,4.79,0.78,short_video
C000076,CR0738,sports,79,2026-01-18,9.55,0.22,clip
C000077,CR0962,food,55,2026-01-18,6.91,0.27,edit
C000078,CR0316,tech,148,2025-10-14,1.33,0.21,edit
C000079,CR0254,finance,157,2025-09-01,0.43,0.27,edit
C000080,CR0839,finance,77,2025-11-24,2.21,0.11,short_video
C000081,CR0647,music,59,2026-04-17,1.25,0.08,short_video
C000082,CR0738,gaming,88,2025-04-10,0.7,0.67,meme_video
C000083,CR0939,tech,77,2025-04-01,1.74,0.8,clip
C000084,CR0408,finance,95,2026-03-29,0.63,0.43,edit
C000085,CR0864,anime,54,2025-07-18,0.76,0.77,short_video
C000086,CR0418,anime,85,2025-01-30,0.8,0.59,clip
C000087,CR0796,finance,69,2026-01-23,3.09,0.9,clip
C000088,CR0060,tech,162,2025-06-01,3.02,0.31,clip
C000089,CR0124,gaming,106,2025-06-02,0.19,0.99,edit
C000090,CR0226,anime,22,2025-02-22,5.98,0.17,clip
C000091,CR0850,fitness,83,2026-04-16,3.59,0.45,edit
C000092,CR0625,sports,63,2025-12-13,1.21,0.27,edit
C000093,CR0872,tech,63,2025-11-23,1.31,0.63,edit
C000094,CR0597,finance,138,2025-07-02,1.6,0.2,edit
C000095,CR0235,anime,116,2026-04-17,1.38,0.08,edit
C000096,CR0495,sports,74,2025-09-23,1.97,0.01,clip
C000097,CR0776,food,50,2026-04-11,4.9,0.8,short_video
C000098,CR0047,music,19,2026-04-02,2.39,0.33,meme_video
C000099,CR0711,sports,85,2025-12-22,3.2,0.27,short_video
C000100,CR0549,music,57,2025-09-29,2.53,0.7,clip
C000101,CR0184,music,33,2026-01-20,1.99,0.11,clip
C000102,CR0159,anime,57,2025-02-16,0.56,0.4,clip
C000103,CR0464,tech,222,2026-03-23,10.0,0.87,clip
C000104,CR0295,fitness,90,2025-04-14,3.12,0.89,edit
C000105,CR0550,finance,40,2025-09-16,1.19,0.09,edit
C000106,CR0739,tech,60,2025-01-30,3.05,0.45,short_video
C000107,CR0353,sports,47,2025-10-22,3.86,0.48,meme_video
C000108,CR0244,anime,80,2025-02-27,5.56,0.65,edit
C000109,CR0838,sports,45,2025-05-15,1.51,0.33,short_video
C000110,CR0056,fitness,81,2025-09-14,1.7,0.51,edit
C000111,CR0181,sports,66,2025-08-02,0.51,0.28,short_video
C000112,CR0259,finance,81,2026-03-23,2.45,0.04,clip
C000113,CR0277,finance,131,2025-12-13,0.31,0.96,short_video
C000114,CR0173,memes,6,2025-10-04,1.43,0.7,clip
C000115,CR0933,music,47,2025-02-23,2.03,0.12,meme_video
C000116,CR0821,music,44,2025-11-14,3.25,0.94,edit
C000117,CR0040,gaming,104,2026-02-26,5.82,0.88,short_video
C000118,CR0340,memes,9,2025-09-03,0.96,0.58,edit
C000119,CR0450,music,42,2025-09-04,2.72,0.61,meme_video
C000120,CR0733,music,43,2026-01-01,0.56,0.84,meme_video
C000121,CR0232,sports,34,2025-01-02,2.86,0.92,clip
C000122,CR0342,tech,76,2025-08-13,5.31,0.89,short_video
C000123,CR0498,food,31,2025-07-22,0.77,0.87,clip
C000124,CR0916,fitness,35,2026-02-02,1.21,0.82,edit
C000125,CR0496,anime,41,2026-04-17,1.72,0.87,clip
C000126,CR0508,gaming,165,2025-12-06,0.49,0.11,meme_video
C000127,CR0556,sports,27,2026-01-30,6.18,0.55,edit
C000128,CR0982,anime,49,2026-03-14,3.33,0.75,clip
C000129,CR0023,tech,109,2025-06-07,1.38,0.28,meme_video
C000130,CR0501,finance,56,2025-08-05,1.43,0.12,edit
C000131,CR0967,sports,87,2025-04-11,0.47,0.53,short_video
C000132,CR0410,food,45,2025-01-15,1.79,0.23,clip
C000133,CR0463,tech,95,2025-11-23,2.37,0.6,edit
C000134,CR0646,anime,26,2025-05-01,2.35,0.34,clip
C000135,CR0053,fitness,45,2025-08-01,0.69,0.89,short_video
C000136,CR0658,food,69,2025-08-31,1.61,0.88,edit
C000137,CR0856,sports,24,2026-03-05,1.24,0.66,meme_video
C000138,CR0121,sports,31,2025-08-05,1.21,0.12,edit
C000139,CR0280,tech,144,2025-08-07,3.2,0.66,edit
C000140,CR0282,memes,22,2025-08-14,0.43,0.38,clip
C000141,CR0314,food,65,2026-01-14,0.45,0.31,short_video
C000142,CR0111,music,36,2025-03-07,1.04,0.19,short_video
C000143,CR0827,music,55,2025-10-29,1.71,0.64,short_video
C000144,CR0534,tech,200,2025-12-25,2.12,0.83,short_video
C000145,CR0319,gaming,70,2025-10-06,0.83,0.54,clip
C000146,CR0392,sports,59,2025-06-02,1.6,0.9,meme_video
C000147,CR0913,memes,19,2025-03-17,2.6,0.34,meme_video
C000148,CR0722,music,40,2025-04-25,0.57,0.26,meme_video
C000149,CR0759,gaming,58,2026-04-18,0.6,0.14,edit
C000150,CR0690,music,25,2025-02-23,7.2,0.27,edit
C000151,CR0448,anime,45,2025-07-27,3.59,0.96,meme_video
C000152,CR0519,fitness,79,2025-05-13,9.56,0.24,clip
C000153,CR0562,anime,87,2026-01-06,0.93,0.69,short_video
C000154,CR0318,finance,76,2025-07-29,1.83,0.96,meme_video
C000155,CR0428,food,88,2026-04-30,0.35,0.36,short_video
C000156,CR0325,music,40,2026-03-22,0.76,0.91,short_video
C000157,CR0046,gaming,94,2025-05-21,3.94,0.93,meme_video
C000158,CR0595,tech,37,2025-09-21,3.4,0.16,edit
C000159,CR0980,gaming,161,2025-01-26,1.6,0.24,clip
C000160,CR0150,finance,177,2026-02-27,7.22,0.63,meme_video
