session_id, user_id, persona         , session_start      , session_end        , session_duration_minutes, exit_reason   , is_weekend
S0000001  , U04737 , trend_hopper    , 2026-03-03 09:14:24, 2026-03-03 09:20:24,                        6, interruption  , False
S0000002  , U03180 , binge_user      , 2025-03-30 21:49:44, 2025-03-30 23:36:44,                      128, goal_completed, True
S0000003  , U02104 , passive_scroller, 2025-10-27 22:18:07, 2025-10-27 22:21:07,                        3, interruption  , False
S0000004  , U00784 , active_engager  , 2025-07-05 22:19:28, 2025-07-05 22:29:28,                       12, boredom       , True
S0000005  , U03017 , binge_user      , 2025-10-07 22:14:26, 2025-10-07 23:54:26,                      100, boredom       , False
S0000006  , U02416 , active_engager  , 2025-05-14 13:53:27, 2025-05-14 14:17:27,                       24, fatigue       , False
S0000007  , U01791 , binge_user      , 2025-03-26 18:25:43, 2025-03-26 19:56:43,                       91, boredom       , False
S0000008  , U00779 , active_engager  , 2025-03-21 23:46:41, 2025-03-22 00:19:41,                       33, boredom       , False
S0000009  , U03617 , binge_user      , 2025-11-07 21:16:21, 2025-11-07 22:10:21,                       54, boredom       , False
S0000010  , U02790 , trend_hopper    , 2025-05-16 12:25:19, 2025-05-16 12:30:19,                        5, interruption  , False
S0000011  , U01481 , binge_user      , 2025-08-21 23:44:38, 2025-08-22 01:06:38,                       82, boredom       , False
S0000012  , U03641 , binge_user      , 2025-01-18 19:48:41, 2025-01-18 21:12:41,                      100, fatigue       , True
S0000013  , U00132 , binge_user      , 2025-10-02 23:39:29, 2025-10-03 00:16:29,                       37, boredom       , False
S0000014  , U01627 , passive_scroller, 2025-07-02 01:10:14, 2025-07-02 01:18:14,                        8, goal_completed, False
S0000015  , U01084 , passive_scroller, 2025-08-15 13:41:53, 2025-08-15 13:52:53,                       11, boredom       , False
S0000016  , U01499 , active_engager  , 2025-08-04 19:48:54, 2025-08-04 20:20:54,                       32, fatigue       , False
S0000017  , U00451 , binge_user      , 2025-03-14 13:15:27, 2025-03-14 14:24:27,                       69, fatigue       , False
S0000018  , U02924 , active_engager  , 2025-06-16 12:44:42, 2025-06-16 12:58:42,                       14, fatigue       , False
S0000019  , U04205 , active_engager  , 2025-02-23 18:18:36, 2025-02-23 18:53:36,                       42, fatigue       , True
S0000020  , U03051 , passive_scroller, 2026-01-18 23:40:47, 2026-01-18 23:54:47,                       16, goal_completed, True
S0000021  , U03857 , active_engager  , 2025-11-17 20:18:32, 2025-11-17 20:46:32,                       28, interruption  , False
S0000022  , U01134 , passive_scroller, 2025-11-03 12:40:03, 2025-11-03 12:42:03,                        2, boredom       , False
S0000023  , U03277 , binge_user      , 2025-02-12 21:31:36, 2025-02-12 22:46:36,                       75, goal_completed, False
S0000024  , U04278 , binge_user      , 2025-01-18 23:56:13, 2025-01-19 00:39:13,                       51, interruption  , True
